축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
수정숯골축제,성남초교(미정),2019-10-01,2019-10-31,수정구지역이 조선시대 숯을 구어 장에 팔았던 숯골을 축제 유래로 수정구민 화합축제,수정구청 가정복지과,수정숯골축제 추진위원회,,,,,경기도 성남시 수정구 수정로 233,경기도 성남시 수정구 태평동 7236,37.44608464,127.1441445,2019-12-27
벌터산 축제,벌터산공원,2019-04-01,2019-04-30,지역주민 화합,수진2동,벌터산 축제 추진위원회,,,,,경기도 성남시 수정구 수진동 산41-3,경기도 성남시 수정구 수진동 산41-3,37.4358321,127.1254889,2019-12-27
중원한마당축제,종합운동장보조구장(미정),2019-09-01,2019-09-30,"중원구민 한마당 음악축제, 주민자치센터 작품 발표",중원구청 가정복지과,중원한마당축제추진위원회,,,,,경기도 성남시 중원구 광명로 377,경기도 성남시 중원구 금광동 2685,37.44885031,127.167697,2019-12-27
은행골한마음잔치,은행2동 초등학교,2019-05-01,2019-05-31,은행2동 350년 된 은행나무 보호수 행목제 시작으로 부대행사,은행2동,은행골 한마음잔치 추진위원회,,,,,경기도 성남시 중원구 순환로 447번길 11,경기도 성남시 중원구 은행동 652,37.46123306,127.1707449,2019-12-27
모란축제추진위원회,모란오거리쉼터,2019-10-01,2019-10-31,지역상인들과 시민화합의장 마련,성남동,성남동 상가번영회,,,,,경기도 성남시 중원구 제일로 35번길 51,경기도 성남시 중원구 성남동 3439,37.4320045,127.1315674,2019-12-27
2019 수원연극축제,경기상상캠퍼스,2019-05-24,2019-05-26,연극 및 퍼포먼스,(재)수원문화재단,수원시,,031-290-3532,,,"경기도 수원시 권선구 서둔로 166 (서둔동,경기도상상캠퍼스)",,37.2667769,126.9850191,2019-12-17
2019 수원등불축제,수원천,2019-10-03,2019-10-06,수원사랑 등불축제,(재)수원문화재단,수원시,,031-228-2415,http://www.swcf.or.kr/shcf/,,경기도 수원시 팔달구 수원천로392번길 44-6 (방화수류정),,37.28754004,127.018085,2019-12-17
2019 수원독서문화축제,장안공원,2019-10-12,2019-10-12,독서축제,수원시 도서관사업소,수원시,,031-228-4802,,돼지열병 확산방지를 위한 축제 취소,"경기도 수원시 팔달구 신풍로 74(장안문 인근, 책고집)",,37.28753704,127.0135776,2019-12-17
2019 음식 문화축제,신풍지구남측부지(구 우체국 자리),2019-10-03,2019-10-06,"국제 자매도시 조리사 초청 음식전, 음식문화개선 홍보관 등",갈비중식일식축제협의회 외식업지부,수원시,,031-228-2233,,,경기도 수원시 팔달구 정조로 825,경기도 수원시 팔달구 남창동 6-2,37.28188202,127.014393,2019-12-17
제56회 수원화성문화제,"화성행궁, 행궁광장, 연무대 등 수원화성 일원",2019-10-03,2019-10-06,제56회 수원화성문화제,(재)수원문화재단,수원시,,031-228-2415,http://www.swcf.or.kr/shcf/,,경기도 수원시 팔달구 행궁로 11 (남창동),,37.28098808,127.0152227,2019-12-17
2019 안성맞춤 남사당 바우덕이축제,안성맞춤랜드,2019-10-02,2019-10-06,"남사당공연, 국내 전통공연, 해외민속공연, 안성장터 재현 등",안성맞춤남사당바우덕이축제위원회,안성시,문화체육관광부경기도지역진흥재단,031-678-2512,www.anseong.go.kr,,경기도 안성시 보개면 남사당로 198,경기도 안성시 보개면 복평리 303-3,37.03286724,127.3078041,2019-12-05
2019 안양 시민축제,"평촌중앙공원,병목안시민공원,범계로데오",2019-09-20,2019-09-22,"시민공연마당, 전시체험부스, 개폐막 축하공연, 방송국 공개방송, 안양시민의날 기념식, 안양시민가요제 등",(재)안양문화예술재단,"경기도 안양시, 안양축제추진위원회",,031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,2019-12-09
2019 안양여성축제,평촌중앙공원,2019-05-18,2019-05-19,"기념공연, 여성동아리공연, 미니올림픽, 김장담그기대회, 홍보체험부스 등",경인일보,(재)안양문화예술재단,"경기도 안양시, 안양시여성단체협의회",031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 동안구 관평로 149 (평촌동),경기도 안양시 동안구 평촌동 895,37.39013727,126.9613302,2019-12-09
2019 광복기념음악회,병목안시민공원,2019-08-15,2019-08-15,"뮤지컬 그룹 플래티넘, 안양시립합창단 공연 등",(재)안양문화예술재단,"경기도 안양시, 안양축제추진위원회","안양시, 티브로드abc방송",031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 만안구 병목안로 215,경기도 안양시 만안구 안양동 산 82-2,37.38528888,126.9076745,2019-12-09
2019 안양충훈벚꽃축제,안양충훈2교일대,2019-04-05,2019-04-07,"축하공연, 안양꽃길걷기대회, 안양꽃길그리기, 어린이벼룩시장, 거리공연, 체험부스 등",(재)안양문화예술재단,"안양시, 안양충훈벚꽃축제추진위원회",티브로드abc방송,031-687-0500,http://www.ayac.or.kr,"안양예술공원, APAP, 김중업박물관",경기도 안양시 만안구 석수로 159,경기도 안양시 만안구 석수동 797,37.40461526,126.8961574,2019-12-09
2019 보정역생활문화센터 <청춘파티  - 특별프로그램>,보정역생활문화센터,2019-12-13,2019-12-13,"강연자, 참여자가 ''''인생'''', ''''청춘'''', ''''문화''''를 키워드로 모여 능정적 참여자로서 서로에게 배우는 생활 속 프로그램",용인문화재단,용인문화재단,,031-260-3320,www.yicf.or.kr,,경기도 용인시 기흥구 용구대로 2585,경기도 용인시 기흥구 보정동 568 보정역 생활문화센터,37.31629272,127.1081614,2019-12-09
할미성 대동제,용인중앙시장 광장,2020-10-15,2020-10-15,길놀이 행사 및 할미성 대동굿 12거리 재연,할미성대동굿보존회,용인문화원,용인시,031-324-9600,http://www.ycc50.org/,,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 560,37.24086706,127.1779688,2019-12-09
포은문화제,정몽주 묘역,2020-10-11,2020-10-13,"관혼상제, 인문학 강의, 북콘서트, 각종 경연대회, 체험부스",용인문화원,용인문화원,용인시,031-324-9600,www.poeun.co.kr,,경기도 용인시 처인구 중부대로 1199,경기도 용인시 처인구 삼가동 560,37.24086706,127.1779688,2019-12-09
의왕백운호수축제,백운호수주차장,2020-09-19,2019-09-20,의왕백운호수축제 체험 및 공연,의왕시,의왕시축제추진위원회,경기도,031-345-2534,,백운호수주차장,경기도 의왕시 백운로 526,경기도 의왕시 학의동 341-8,37.38321292,127.0007588,2020-02-04
의왕백운예술제,백운호수주차장,2019-09-21,2019-09-22,예술행사 체험,의왕시,의왕시축제추진위원회,경기도,031-345-2534,,백운호수주차장,경기도 의왕시 백운로 526,경기도 의왕시 학의동 341-8,37.38321292,127.0007588,2020-02-04
의왕철도축제,"레솔레파크, 철도박물관 등",2020-05-04,2019-05-05,의왕철도축제 체험 및 공연,의왕시,의왕시축제추진위원회,경기도,031-345-2534,http://uwtrain.net,"왕송호수, 철도박물관, 조류생태과학관",경기도 의왕시 왕송못동로 307,경기도 의왕시 월암동 543-3,37.30712099,126.9531474,2020-02-04
의왕철도축제,"레솔레파크, 철도박물관 등",2019-05-04,2019-05-05,의왕철도축제 체험 및 공연,의왕시,의왕시축제추진위원회,경기도,031-345-2534,http://uwtrain.net,"왕송호수, 철도박물관, 조류생태과학관",경기도 의왕시 왕송못동로 307,경기도 의왕시 월암동 543-3,37.30712099,126.9531474,2020-02-04
거제 섬꽃축제,거제시 농업개발원,2019-10-26,2019-11-03,가을국화꽃 전시/ 국화작품전시/ 꽃동산 전시/ 첨단농업전시/ 국화전배전시 및 농특산물 홍보 판매 등 다양한 전시 및 행사,경상남도 거제시 농업개발과,경상남도 거제시 농업개발과,,055-639-6443,,,경상남도 거제시 거제면 거제남서로 3577,,,,2020-02-13
바다로 세계로,거제시 일원,2019-08-01,2019-08-04,스포츠와 함께하는 여름축제로 매년 7월말에서 8월초순 경에 개최되는 한려수도 해양축제 “바다로 세계로”는 천혜의 관광자원과 문화예술공연을 함께 즐길 수 있는 전국 최대규모의 해양축제.,㈜엠비씨경남,경상남도 거제시 관광마케팅과,,055-639-4173,,,경상남도 거제시 계룡로 125,,,,2020-02-13
남부면 수국축제,매물도 여객선 주차장,2019-06-29,2019-06-29,남부면에서 20여년 동안 가꾸어 온 아름다운 수국꽃을 시민 및  관광객들에게 선물을 선사하다,경상남도 거제시 남부면,경상남도 거제시 남부면,,055-639-6531,,,경상남도 거제시 남부면 저구리 216-120,경상남도 거제시 남부면 저구리 216-120,,,2020-02-13
양지암축제,양지암공원,2019-04-13,2019-04-13,푸른바다를 두른 양지암과 조각품의 아름다움에 취하다,양지암축제추진위원회,양지암축제추진위원회,,055-639-6793,,,경상남도 거제시 능포동 408-2,경상남도 거제시 능포동 408-2,,,2020-02-13
거제학동몽돌해변 불꽃축제,학동흑진주몽돌해변,2019-10-19,2019-10-19,우수한 관광자원이 몽돌을 소재로 전국적으로 특색 있고/ 차별화된 축제를 통하여 우리 시의 인지도 향상 및 볼거리 등으로 체험형 문화관광 축제,경상남도 거제시 동부면,경상남도 거제시 동부면,,055-639-6511,,,경상남도 거제시 동부면 학동리 284-1,경상남도 거제시 동부면 학동리 284-1,,,2020-02-13
산방산삼월삼짇날축제,산방산 임도,2019-04-07,2019-04-07,따뜻한 봄기운이 감도는 삼월 삼짇날 산방산에서 열리는 축제,경상남도 거제시 둔덕면번영회,경상남도 거제시 둔덕면번영회,,055-639-6592,,,경상남도 거제시 둔덕면 산방리 331-1,경상남도 거제시 둔덕면 산방리 331-1,,,2020-02-13
대금산진달래축제,대금산 중턱,2019-04-06,2019-04-06,대금산에 만개하는 진달래를 배경으로 펼쳐지는 축제,대금산진달래축제추진위원회,대금산진달래축제추진위원회,,055-639-6721,,,경상남도 거제시 연초면 명동리 산 21,경상남도 거제시 연초면 명동리 산 21,,,2020-02-13
거제 옥포대첩 축제,옥포대첩기념공원/ 옥포동 일원,2019-06-14,2019-06-15,"옥포대첩축제로 명칭 변경, 임진왜란 첫 승전인 옥포대첩을 기념하는 행사로/ 기념식을 비롯하여 문화예술/ 민속/ 이벤트행사 등이 다양하게 진행되며 시민 참여마당 및 볼거리를 제공합니다.",옥포대첩기념제전위원회,옥포대첩기념제전위원회,,055-639-3393,,,경상남도 거제시 옥포2동 3-2,경상남도 거제시 옥포2동 3-2,,,2020-02-13
거제 대구수산물 축제,외포항 일원,2019-12-21,2019-12-22,외포항 일원/ 볼거리/ 먹거리/ 즐길거리가 풍성 ''''''''속까지 확 풀어주는 거제대구/ 억수로 재미있는 외포바다체험'''''''',거제대구수산물축제추진위원회,거제대구수산물추진위원회,,055-639-4273,,,경상남도 거제시 장목면 외포리 57-47,경상남도 거제시 장목면 외포리 57-47,,,2020-02-13
송년불꽃축제,장승포항 일원,2019-12-31,2019-12-31,송년불꽃축제는 한 해를 마무리하는 시점에서 관광객에게 볼거리를 제공하기 위한 연말연시 축제의 한마당. 축하공연과 더불어 화려하게 하늘을 수놓은 불꽃연출은 한 해를 보내는 아쉬움과 새해를 맞이하는 희망과 설레임으로 잊지못할 추억을 선사.,2019 송년불꽃축제 추진위원회,경상남도 거제시 문화예술과,,055-639-6751,,,경상남도 거제시 장승로 138,,,,2020-02-13
블루거제페스티벌,장승포 일원,2019-07-31,2019-08-02,우수 예술인 발굴과 지역 문화예술의 저변 확대를 위해 개최,거제문화예술회관,거제문화예술회관,,055-680-1000,,,경상남도 거제시 장승로 145,,,,2020-02-13
거제맥주축제,장승포 수변공원,2019-08-27,2019-08-31,"음악공연, 즉석 댄스 등 경연, 이벤트 및 각종 퍼포먼스",거제맥주축제추진위원회,거제맥주축제추진위원회,,055-639-3373,,,경상남도 거제시 장승포동 685-3,경상남도 거제시 장승포동 685-3,,,2020-02-13
신년해맞이행사,장승포 몽돌개,2020-01-01,2020-01-01,한 해의 무사안녕을 기원하고 새해 아침 첫 해돋이를 맞이하기 위한 축제,신년맞이행사 추진위원회,신년맞이행사 추진위원회,,055-639-6751,,,경상남도 거제시 장승포동 산4,경상남도 거제시 장승포동 산4,,,2020-02-13
거제맹종대나무축제,거제맹종죽테마파크,2019-04-26,2018-04-28,봄의 기운이 더욱 푸르러지는 4월. 하청면의 명소 거제맹종죽 테마파크 죽림포레스티벌로의 초대,거제맹종죽영농조합법인,거제맹종죽영농조합법인,,055-639-6353,,,경상남도 거제시 하청면 실전리 산84-5,경상남도 거제시 하청면 실전리 산84-5,,,2020-02-13
가천다랭이마을해맞이행사,다랭이마을,2021-01-01,2021-01-01,"소원문 쓰기, 떡국나눔행사 등",가천마을회,가천마을회,경상남도 남해군,,http://tour.namhae.go.kr/main.web,다랭이마을,경상남도 남해군 남면 남면로 679번길 21,경상남도 남해군 남면 홍현리 898-5,34.7275136,127.8940684,2020-01-17
상주 정월대보름 달맞이 축제,상주은모래비치 주차장,2020-02-08,2020-02-08,"민속놀이, 기원제, 국악공연, 어울림한마당",상주면연합청년회,상주면연합청년회,경상남도 남해군,,http://tour.namhae.go.kr/main.web,상주은모래비치,경상남도 남해군 상주면 상주리 1227,경상남도 남해군 상주면 상주리 1227,34.722617,127.988295,2020-01-17
상주해돋이&물메기축제,상주은모래비치,2020-12-31,2021-01-01,물메기먹거리행사 및 해돋이 행사,상주면연합청년회,상주면연합청년회,경상남도 남해군,,http://tour.namhae.go.kr/main.web,상주은모래비치,경상남도 남해군 상주면 상주리 603-7,경상남도 남해군 상주면 상주리 603-7,34.72221206,127.9874449,2020-01-17
산청 경호강 물 페스티벌,산청 경호강 일원,2019-07-13,2019-07-14,"물놀이, 전국청춘트롯가요제&클럽, 래프팅대회, 체험 전시행사 등","㈜서경방송, 한국낚시채널FTV, ㈜런커",경상남도 산청군,,055-970-7202,http://www.sancheong.go.kr,"동의보감촌, 남사예담촌, 대원사",경상남도 산청군 금서면 매촌리 67,경상남도 산청군 금서면 매촌리 67,35.41970199,127.8717919,2019-12-19
제19회 산청한방약초축제,산청IC 입구 축제광장/동의보감촌,2019-09-27,2019-10-09,"한방약초를 테마로한 공연, 전시, 체험프로그램 운영, 기타 특별행사 및 전시 등",산청한방약초축제위원회,경상남도 산청군 한방항노화,,055-970-6602,http://www.sancheong.go.kr,"동의보감촌, 남사예담촌, 대원사",경상남도 산청군 금서면 친환경로2605번길 22,경상남도 산청군 금서면 매촌리 67,35.41970199,127.8717919,2019-12-19
제11회 산청불교문화제전,묵곡생태공원,2019-09-22,2019-09-22,"혜민스님 토크쇼, 음악회, 불교문화체험 및 전시 등",산청불교사암연합회,경상남도 산청군,,055-970-6401,http://www.sancheong.go.kr,성철스님기념관,경상남도 산청군 단성면 묵곡리 949,경상남도 산청군 단성면 묵곡리 949,35.27765217,127.9649714,2019-12-19
제13회 기산국악제전,"기산국악당, 남사예담촌",2019-09-20,2019-09-21,"박헌봉 국악상 시상, 국악한마당공연, 전국국악경연대회",기산국악제전위원회,경상남도 산청군,,055-970-6401,http://www.sancheong.go.kr,"동의보감촌, 남사예담촌, 대원사",경상남도 산청군 단성면 상동길 69,경상남도 산청군 단성면 사월리 1399,35.27597812,127.9340313,2019-12-19
생초국제조각공원 꽃잔디 축제,산청군 생초국제조각공원 일원,2019-04-19,2019-05-05,"개막식, 풍물패 길놀이, 행사장 축하공연, 연극공연, 음악공연, 꽃잔디 화분 만들기, 천아트 꽃그림 그리기, 시계 목각 만들기 체험 등","산청군, 생초면체육회",산청군 생초면,,055-970-8151,http://www.sancheong.go.kr,"생초국제조각공원, 산청박물관",경상남도 산청군 생초면 산수로 1064,경상남도 산청군 생초면 어서리 산94,35.49232876,127.8317388,2019-12-19
제43회 남명선비문화축제,한국선비문화연구원,2019-10-18,2019-10-19,"남명제례, 개막식, 공연, 경연, 전시, 체험행사등",남명선비문화축제집행위원회,경상남도 산청군,,055-970-6401,http://www.sancheong.go.kr,"동의보감촌, 남사예담촌, 대원사",경상남도 산청군 시천면 남명로240번길 33,경상남도 산청군 시천면 사리 900-27,35.27631899,127.8460504,2019-12-19
제13회 지리산산청곶감축제,산청군 시천면산청곶감유통센터 일원,2020-01-02,2020-01-05,곶감 홍보 및 품평회곶감 홍보관 운영 및 판매전국연날리기 대회산청곶감노래자랑,지리산산청곶감축제위원회,경상남도 산청군 산림녹지과 산촌소득담당,"산청군, 농협 등",055-970-6932,http://www.sancheong.go.kr,천왕봉,경상남도 산청군 시천면 송하중태길 6,경상남도 산청군 시천면 천평리 440,35.27427006,127.8363661,2019-12-19
제46회 지리산평화제,지리산 중산관광지,2019-10-11,2019-10-11,"지리산 산신제, 평화상 시상",산청문화원,경상남도 산청군,,055-970-6401,http://www.sancheong.go.kr,"동의보감촌, 남사예담촌, 대원사",경상남도 산청군 시천면 지리산대로 520,경상남도 산청군 시천면 중산리 519,,,2019-12-19
산청황매산철쭉제,황매산 일원,2019-04-27,2019-05-12,황매산철쭉제,산청황매산철쭉위원회,경상남도 산청군,,055-970-7201,http://www.sancheong.go.kr,"동의보감촌, 남사예담촌, 대원사",경상남도 산청군 차황면 법평리 1-2,경상남도 산청군 차황면 법평리 1-2,35.48759166,127.968645,2019-12-19
제11회 구미시민 녹색자전거 대행진,"동락공원, 낙동강체육공원 중 선정",2019-09-21,2019-09-21,"자전거 안전하게 타기 퍼포먼스, 녹색홍보단 퍼레이드(단체라이딩), 축하공연 각종 체험/홍보부스 운영",보조사업 공고 후 선정[2018년 (주)영남일보 주관],보조사업 공고 후 선정[2018년 (주)영남일보 주최],구미시,,,,경상북도 구미시 3공단1로 191,경상북도 구미시 진평동 766,36.099427,128.4017505,2019-12-30
3.1운동 애국지사 최재화 목사 추모행사,산양리 마을회관,2019-03-01,2019-03-01,기념식 및 추모행사,산양리 3.1 동지회,산양리 3.1 동지회,해당없음,054-480-7306,,,경상북도 구미시 강동로 2040,경상북도 구미시 해평면 산양리 66-38,36.22618283,128.369204,2019-12-30
제28회 선주원남 벚꽃축제,구미 금오산 대주차장 일원,2019-04-02,2019-04-03,"전야제 의식행사, 인기가수 공연, 체험부스 등",선주원남동남여새마을지도자협의회,선주원남동남여새마을지도자협의회,"선주원남동정협의회, 구미대학교, 원남새마을금고",054-480-7505,,,경상북도 구미시 금오산로 218,,,,2019-12-30
부처님 오신날 맞이 도리사 연등 축제,구미시 해평면 도리사,2019-05-12,2019-05-12,"점등식, 봉축 법요식, 도리사 사진전",대한불교 조계종 도리사,구미시 해평면 도리사,해당없음,054-474-3737,http://www.dorisa.or.kr/,,경상북도 구미시 도리사로 526,경상북도 구미시 해평면 송곡리 403,36.25554215,128.3984862,2019-12-30
도리사 해맞이 행사,구미시 해평면 도리사,2019-01-01,2019-01-01,"새벽예불, 해맞이 및 소원성취기원, 새해법회, 떡국 공양",구미시 해평면 도리사,구미시 해평면 도리사,해당없음,054-474-3737,http://www.dorisa.or.kr/,,경상북도 구미시 도리사로 526,경상북도 구미시 해평면 송곡리 403,36.25554215,128.3984862,2019-12-30
선산 비봉 민속축제,선산고등학교,2019-05-04,2019-05-04,"사진전, 사생대회, 체육대회 등",선산읍 체육회,구미시,-,054-480-7013,,,경상북도 구미시 선산읍 단계서4길 18,경상북도 구미시 선산읍 노상리 36-1,36.24820016,128.2950621,2019-12-30
부처님 오신날 맞이 보천사 연등 축제,구미시 해평면 보천사,2019-05-12,2019-05-12,"점등식, 봉축 법요식, 만발공양 등",대한불교 조계종 보천사,구미시 해평면 보천사,해당없음,054-475-3581,http://www.bocheonsa.com/,,경상북도 구미시 해평4길 86,경상북도 구미시 해평면 해평리 525-1,36.20326096,128.3734459,2019-12-30
