전시일련번호,어권구분,전시회명,전시부제,전시장소,전시시작기간,전시끝기간,홈페이지URL,부대행사,주최및후원,전시(관람)시간,관람료(원),전시부문,작품수,출품작가,도슨트,관람포인트,담당자,문의전화,전시설명,대표이미지
461365,KOR,《하나의 사건 This Event》,,서소문본관,2020-06-18,2020-08-16,,,,,,,,,,,강세윤,021-2124-8908,<p>동시대 미술의 주요한 장르로 급부상하고 있는 퍼포먼스를 조명하는 주제전으로서 작품과 관객의 다양한 관계구조와 수행성을 중심으로 퍼포먼스의 복합적 측면들에 대한 담론의 장을 마련하는 전시<br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191230171155_82287e25e78c431c8528ebcf39ab1e0e_d4f45c6aa4c248bab67c44a3d37de9f4
461340,KOR,아카이브 연구기반 《임동식 개인전- 일어나 올라가》,,서소문본관,2020-06-18,2020-08-16,,,,,,회화 드로잉 사진 등,,,,,이승아,02-2124-8935,<p>현실과 형식에의 저항 자연교감적 퍼포먼스에 이어 회화로의 여정을 이어온 작가 임동식(1945~)의 작품세계를 조명하는 개인전으로 예술기록자원(아카이브)의 보존 및 연구 중심 신규 분관인 평창동 미술문화복합공간(가칭)과의 협업으로 아카이브와 작품이 결합된 전시. 작가의 다면적 창작세계와 아카이브가 자극하는 상상 미술관 경험의 또 다른 면모를 다루는 부대 프로그램을 마련함.<br></p><p><br></p><p><br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191230170913_96c8d9b959564d5aa09ea967b8d0f8d5_7a4854ea58804b0a971bf966ec3d1d62
463128,KOR,《전혀 예술적인 유연한 미술관》,,남서울미술관,2020-06-18,2020-08-16,,,,,,,,,,,추여명,02-2124-8924,<p>단일한 관람의 형태에서 벗어나 작가와 관람객의 참여를 통해 소장품과 남서울미술관을 재해석하고 작동할 수 있는 활동 프로그램 등의 비물질적인 방식을 구성하고 이를 전시하거나 다시 소장하는 방법을 상상해보는 프로그램</p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2020%2F&FILE_NM=20200102180126_c272600d38204ac8b8ae02eaa54192d2_f2042d69064640aeabd85129c1527d8f
460150,KOR,2020 서울사진축제《사진이 여전히 차이를 만들 때》,《사진이 여전히 차이를 만들 때》,북서울미술관,2020-04-21,2020-06-07,,,,,,,,,,,정재임,02-2124-5269,<p>제11회 서울사진축제는 사진은 언제 사진으로 온전히 존재하는 가에 대한 물음을 가지고 ’일상‘을 소재로 하여 주제전과 아카이브 프로그램을 통하여 일반인과 전문가가 함께 만들고 즐길 수 있는 대중성과 전문성이 조화를 이루는 축제로 개최하고자 함.</p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191226132537_1518c8a7bbdb4c0a92bb16440d617b4e_faf779ae411d4c57ba53e7efe390570b
460131,KOR,《물체주머니》,,북서울미술관,2020-03-26,2020-09-13,,,,,,,,,,,유민경,02-2124-5272,<p>디자인과 미술을 구분하지 않고 전방위적 활동을 하고 있는 그래픽 디자이너 김영나를 초대하여 그의 시각 언어와 디자인적 사고를 어린이의 눈높이에 맞추어 보여주는 전시<br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191226132056_996f55e4122d4b189d6b9d6f7468058e_9595f697b1c04b6080a7360ec456be28
461329,KOR,《모두의 소장품》,,서소문본관,2020-03-24,2020-05-31,,,,,,,,,,,한희진,02-2124-8940,<p>5천여 점에 달하는 서울시립미술관 전체 소장품을 새로운 관점으로 분류?해석하여 다시 선보이는 전시로서 미술관의 소장행위가 갖는 공공성과 시대적 의미를 탐색하는 전시 <br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191230170227_dba35e251e07424c87509f43b8e98582_5d55bbd72a944fb890590918e104f211
463118,KOR,《모두의 소장품》,,남서울미술관,2020-03-24,2020-05-31,,,,,,,,,,,김혜진,02-2124-8944,<p>시각예술의 인접장르이자 미술과 밀접한 관계를 맺고 있는 건축이 제도적으로 수집되고 아카이빙되는 방식을 연구함으로써 수집행위에 대한 미래적 형식과 방법론을 모색하는 전시 <br></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2020%2F&FILE_NM=20200102175934_49286981187b4b54a72e2de87d4f66a4_a0855623ff6e4af2a1734d58f91b4aff
475359,KOR,[SeMA-프로젝트 S] 2019 같이 있고 싶다고,,서소문본관,2020-01-01,2020-12-31,,,서울시립미술관 주최 / 에르메스 코리아 후원,,,,,이미래 푸하하하프렌즈,,<p>작품구동 시간</p><p>오후 12시-1시&nbsp;</p><p>오후 4시-5시</p>,강세윤,02-2124-8908,<p>&lt;SeMA-프로젝트 S&gt;는 작가와 건축가 그래픽디자이너의 협업을 통해 관람객의 다양한 문화 예술 활동이 가능한 공유 공간을 조성하는 프로젝트로 2년마다 기획하여 10년간 진행하게 된다. 첫 번째로 물질 자체의 물성을 드러내는 로-테크 키네틱 조각을 작업해온 이미래 작가와 일상의 이야기를 위트있게 건축으로 풀어내는 푸하하하프렌즈의 한승재 소장이 서울시립미술관 서소문관의 로비공간을 변화시키는 협업을 진행하였다.</p><p>&nbsp;이미래의 작품은 공중에서 천천히 회전하는 거대한 모빌형상의 조각으로 '잡아먹기'라는 개념에서 착안하였다. 작가는 주변 작가들로부터 받은 작품과 부산물을 실리콘 비닐과 같은 물질들과 혼합하여 회전하는 타원형 구조체 속으로 삼켜버리는 작업을 보여준다. 구 대법원 청사를 재건축한 지금의 서울시립미술관은 원래의 건축물에서 전면부(파사드)를 제외한 &nbsp;대부분을 철거한 후 신축하여 2002년 5월에 개관하였다. 한승재 소장은 역사적 의미에서 과거(기존 건물)와 현재(신축 건물)를 이어주고 외부와 전시공간을 이어주는 '매개공간'의 특성을 강조하고자 하였다.</p><p><br></p><p>*추후 이미래 작가와 협업작가들의 퍼포먼스 프로그램이 진행되며 이미래의 에세이 책이 출간될 예정이다.</p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2020%2F&FILE_NM=20200203175118_4e4a3e8ec8cd4552ae2e1074bb2f9b94_b95a10d5650d44fba0a7a5611b2c958d
440929,ENG,Leandro Erlich: Both Sides Now,,북서울미술관,2019-12-17,2020-03-31,,,,,,Installation Sculpture Video etc.,8,Leandro Erlich,,,Soyeon Bang,02-2124-5268,<p>SeMA Buk-Seoul Museum of Art is pleased to present <em>Leandro Erlich: Both Sides</em><em>Now</em> a solo exhibition of work by Argentinian artist Leandro Erlich from December 17 2019 through March 31 2020. Leandro Erlich is an internationally-exhibited contemporary artist whose work has been widely acclaimed for both its originality and popularity. His installations transform familiar everyday spaces such as an elevator staircase and swimming pool by creating optical illusions using mirrors and other various materials. &nbsp;</p><p>The artist’s current exhibition at the Buk-SeMA <em>Leandro Erlich: Both Sides Now&nbsp;</em>goes beyond examining his central theme of “perception” and further questions the relationship between the “Subject” and the “Other.” Whereas the artist’s previous exhibitions explored concepts such as “the illusion and the real” or “the imaginary and the truth” by reminding the viewers of how the world we perceive and the real are not always the same this exhibition focuses on how the “I” or the “Subject” is formed through surrounding relationships and therefore makes the boundaries between the “Subject” and the “Other” ambiguous. Those boundaries which separate two seemingly different entities remain variable according to their conditions and circumstances. There is nothing in this world whose essence or nature is invariable. Everything that consists of our world is connected and their boundaries are far from clear-cut. As shadows change according to their light source the world we perceive and those we regard as the “Other” exist as shadows created by our own perspectives.&nbsp;</p><p><br></p><p>Presented across four exhibition galleries of the museum this exhibition introduces new works <em>Car Cinema</em> and <em>In the Shadow of the Pagoda</em> two site-specific installations that dominate the space with their massive scale and ends with <em>The Cloud(South Korea North Korea)</em> a sculptural piece reflecting on the theme of the exhibition. Offering a unique viewer experience the exhibition will also present a selection of Erlich’s earlier works. Highlighting the artist’s distinct sense of humor and brilliant imagination that push the boundaries of reality <em>Leandro Erlich: Both Sides&nbsp;</em><em>Now</em> hopes to provide the viewers with a new aesthetic experience representing the forefront of contemporary art.</p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191217144859_aa0d72c089eb45a1b479e172fc756b92_3fae468cac9143f0ad42deb9b5563c45
316564,KOR,레안드로 에를리치: 그림자를 드리우고,,북서울미술관,2019-12-17,2020-03-31,,,서울시립미술관,,,조각 공간설치 영상 등,8,레안드로 에를리치,* 신종 코로나 바이러스 감염 예방을 위해 서울시립미술관 전관의 도슨트 전시 해설을 잠정 중단하오니 이용에 착오 없으시기 바랍니다. 평일            11:00 13:00 15:00 17:00 (4회) 주말/ 공휴일 11:00 15:00 17:00 (3회),,방소연,02-2124-5268,<p style='margin-top:0cm;margin-right:0cm;margin-bottom:8.0pt;margin-left:0cm;text-align:justify;font-size:13px;font-family:&quot;맑은 고딕&quot;;'><span style='color: rgb(0 0 0);'>서울시립 북서울미술관은 아르헨티나 출신의 세계적인 작가 레안드로 에를리치의 개인전 《레안드로 에를리치: 그림자를 드리우고》를 오는 12월 17일부터 2020년 3월 31일까지 개최한다. 레안드로 에를리치는 주로 거울 등을 이용한 시각적 착시를 적용해 엘리베이터 수영장 등 친숙한 공간을 소재로 한 설치 작품을 선보여 왔으며 작품성과 동시에 대중성을 입증하며 세계 곳곳에서 활발히 활동 중인 작가이다.&nbsp;</span></p><p style='margin-top:0cm;margin-right:0cm;margin-bottom:8.0pt;margin-left:0cm;text-align:justify;font-size:13px;font-family:&quot;맑은 고딕&quot;;'><span style='color: rgb(0 0 0);'>북서울미술관에서 개최되는 이번 전시 《레안드로 에를리치: 그림자를 드리우고》는 지금까지 작가가 주로 다루었던 ‘인식’이라는 주제에서 나아가 ‘주체’와 ‘타자’의 관계성에 대한 질문을 던지고 있다. 이전의 전시가 우리가 보는 세계가 실재와 일치하는 것이 아닐 수 있음을 환기시키면서 ‘환영과 실재’ ‘허구와 진실’ 등의 개념을 주로 드러냈다면 이번 전시에서 작가는 ‘나 혹은 ‘주체’란 그를 둘러싼 관계 속에서 만들어지며 결국 ‘주체’와 ‘타자’의 경계가 모호함을 언급한다. 서로 다르다고 생각되는 두 개의 대상을 구분 짓는 경계는 조건과 상황에 의해 만들어진 가변적인 것으로 결국 세상을 구성하는 모든 것들은 연결되어 있고 그 사이의 경계는 희미하다. 광원에 따라 형태가 달라지는 그림자처럼 우리가 보는 세상 혹은 타자라 생각하는 대상은 우리의 시선을 광원으로 해서 만들어진 그림자일 뿐이다.&nbsp;</span></p><p style='margin-top:0cm;margin-right:0cm;margin-bottom:8.0pt;margin-left:0cm;text-align:justify;font-size:13px;font-family:&quot;맑은 고딕&quot;;'><span style='color: rgb(0 0 0);'>총 네 개의 전시공간으로 구성된 전시는 대형 공간설치 작품 &lt;자동차 극장&gt;과 &lt;탑의 그림자&gt;를 처음으로 선보이며 전시 주제를 상징적으로 담고 있는 조각 작품 &lt;구름(남한 북한)&gt;으로 마무리된다. 이 밖에도 색다른 체험요소가 있는 기존 작품들을 전시한다. 《레안드로 에를리치: 그림자를 드리우고》전은 작가 특유의 유머러스하고 기발한 발상으로 현실에서는 불가능한 새로운 미적 경험을 제공하는 특별한 전시로 세계적인 수준의 현대미술을 접할 수 있는 드문 기회가 될 것이다.</span></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2019%2F&FILE_NM=20191217144707_b2520a9de1d54ad2987f74d12697391a_44e790c4756c4909901a63ee1090c081
316588,KOR,유휴공간 프로젝트 <인간 사랑 빛>,,북서울미술관,2019-12-10,2020-04-30,,,,,,공예 설치,,이성근,,,오연서,02-2124-5284,<p>2019 하반기 유휴공간 프로젝트</p><p>&lt;인간 사랑 빛 Human Love Light&gt;</p><p><br></p><p>이성근</p><p>2020</p><p>가변설치</p><p>특수강</p><p><br></p><p>유선형의 금속조형물 &lt;인간 사랑 빛 Human Love Light&gt; 은 주변의 인공 환경을 수용하는 창조물로 스스로 생명력을 찾습니다.<br>금속조형물의 소재는 매우 얇고 탄성이 강한 특수강선으로 수많은 선들을 묶어 형태를 만들어 냅니다.<br>이성근 작가는 '형태의 드러남에는 항상 빛과 그림자가 따르며 이는 세상 속에서 사랑의 빛과 그림자를 투영하며 살아가는 인간존재들과 같다'고 이야기 합니다.<br>작품은 인간과 사랑 빛에 대해 이야기 하며 원초적인 생명성 자연으로서의 인간의 유기성 환경과의 상호관계성을 표현합니다.</p><p><br></p><p><br></p><p>[유휴공간 프로젝트]<br>서울시립미술관은 미술관과 지역사회의 공간적 접점인 미술관 내 유휴공간 공원과 진입로에 장소 특정적이며 사용자 중심의 활동성 수행성을 요구하는 작품을 설치하여 시민의 일상적 삶에 감각적 물질적으로 개입함으로써 미술관의 문턱을 낮추고 문화를 향유할 수 있는 기회를 다변화하고자 합니다.</p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2020%2F&FILE_NM=20200108153311_d195de4a4e1f41fa875e7cdbeb011d56_ffd5cb83860c4193955e9fa526b6d16e
316655,KOR,강박² Compulsion to Repeat,Compulsion to Repeat,서소문본관,2019-11-27,2020-03-08,,,서울시립미술관,,,회화 사진 영상 조각 설치 등,45점,김용관 김인배 뉴 미네랄 콜렉티브 에밀리아 스카눌리터 오머 파스트 우정수 이재이 정연두 차재민,* 신종 코로나 바이러스 감염 예방을 위해 서울시립미술관 전관의 도슨트 전시 해설을 잠정 중단하오니 이용에 착오 없으시기 바랍니다. 화요일~일요일  13:00 17:00 2회 운영,,송가현,02-2124-8946,<p>서울시립미술관의 기획전시<span lang='EN-US'>&nbsp;≪</span>강박<sup><span lang='EN-US'>2</span></sup><span lang='EN-US'>≫</span>은&nbsp;‘반복’이라는 일상적 개념이 동시대 예술 속에 구현되는 양상을 살펴봄으로써<span lang='EN-US'>&nbsp;</span>우리를 구성하고 사로잡는 심리적 강박을 조명한다<span lang='EN-US'>.&nbsp;</span>반복은 우리 삶 속에 다양한 형태로 녹아있으며<span lang='EN-US'>&nbsp;</span>가시적이든 그렇지 않든 우리 몸과 정신 활동의 많은 부분을 포함하여 세계가 구조화되는 방식&nbsp;또한 반복에 기초하고 있다<span lang='EN-US'>.&nbsp;</span>일반적으로&nbsp;‘같은 일을 되풀이하는 것’을 뜻하는 반복은 기원<span lang='EN-US'>&nbsp;</span>생성<span lang='EN-US'>&nbsp;</span>창조<span lang='EN-US'>&nbsp;</span>새로움 등의 관념보다는 복제<span lang='EN-US'>&nbsp;</span>모방 등과 연결되며 의미론적으로 열등하게 취급되어 왔다<span lang='EN-US'>.&nbsp;</span>그러나 포스트모더니즘 이후 반복이 갖는 본질적 특성은 더 이상 같은 것의 회귀를 의미하는 동일성의 메커니즘으로 귀결되지 않고<span lang='EN-US'>&nbsp;</span>이른바&nbsp;‘차이는 반복의 결과’라는 동시대 사유 속에서 창조의 근원으로 부상하며 사회적<span lang='EN-US'>&nbsp;</span>정치적으로 재해석되고 있다<span lang='EN-US'>.&nbsp;</span>이 전시는 반복이 우리 삶의 안팎을 지배적으로 점유하는 정신병리학적 현상으로서&nbsp;‘강박’을 단지 개인의 문제가 아닌 동시대 사회구조의 문제 속에서 살펴보고자 한다<span lang='EN-US'>.</span></p><p><br></p><p>강박은&nbsp;‘내적인 강제에 의하여 실행하지 않을 수 없는 반복적 행동의 형태’를 뜻한다<span lang='EN-US'>.&nbsp;</span>이 전시는 강박이 그 자체로 지니는 반복적인 속성에 주목함과 동시에 그것을 극복할 수 있는 가능성 또한 반복에 있음을 이야기한다<span lang='EN-US'>.&nbsp;</span>이를 위해<span lang='EN-US'>&nbsp;≪</span>강박<sup><span lang='EN-US'>2</span></sup><span lang='EN-US'>≫</span>은 자본주의 체제가 삶의 지평을 잠식해버린 오늘날<span lang='EN-US'>&nbsp;</span>‘의미 있는 삶의 추구’로 대변되는 현대인의 강박적 상황을 터전 삼아 아홉 명<span lang='EN-US'>(</span>팀<span lang='EN-US'>)</span>의 작가가 세상을 읽고 질문하는 과정을 통해 비판적 사유의 실험장을 구성한다<span lang='EN-US'>.&nbsp;</span>이곳에서 생겨나는 사유의 가능성들은 외부에서 새로운 답을 찾는 대신 내파<span lang='EN-US'>(</span>內破<span lang='EN-US'>)</span>의 가능성을 모색한다<span lang='EN-US'>.&nbsp;</span>강박에서 벗어날 수 있는 가능성은 그것의 위반이나 대안과 같이 외부에 있는 것이 아니라 그 내부에 있기 때문이다<span lang='EN-US'>.&nbsp;</span>바로 여기에 강박의 심리적 측면을 넘어서는 행위의 가능성이 있다<span lang='EN-US'>.&nbsp;</span>강박 속에서 스스로를 반복하는 강박<span lang='EN-US'>&nbsp;</span>즉&nbsp;‘강박의 강박’<span lang='EN-US'>&nbsp;</span>혹은&nbsp;‘강박<span lang='EN-US'>X</span>강박’은 이 전시를 관통하는 예술적 전유의 전략이다<span lang='EN-US'>.&nbsp;</span>그렇다면&nbsp;‘강박<sup><span lang='EN-US'>2</span></sup>’은 반복이 바로 강박의 자리임을 알려주는 고유한 기호가 된다<span lang='EN-US'>.&nbsp;</span>반복은 강박에 틈을 낼 수 있는 유일한 형식이자 강박 행위로서의 예술을 구성하는 핵심 요소로 작동한다<span lang='EN-US'>.&nbsp;</span>여기 초대된 아홉 명<span lang='EN-US'>(</span>팀<span lang='EN-US'>)</span>의 작가는 회화<span lang='EN-US'>&nbsp;</span>영상<span lang='EN-US'>&nbsp;</span>사진<span lang='EN-US'>&nbsp;</span>조각 등 다양한 매체로 현실의 반복을 변주함으로써 다양체적인 세계의 모습을 작품에 투영하고 있다<span lang='EN-US'>.&nbsp;</span>전시를 이루는 개별 작품들이 강박에 저항하기 위하여 시간적<span lang='EN-US'>&nbsp;</span>공간적 반복 혹은 주제적<span lang='EN-US'>&nbsp;</span>구조적 반복을 통해 보여주는 것은 반복이 어떻게 창조하는가에 관한 끊임없는 실험이자 탐구다<span lang='EN-US'>.</span></p>,http://sema.seoul.go.kr/common/imageView?FILE_PATH=%2Fex%2FEXI01%2F2020%2F&FILE_NM=20200130095508_05c62b0fd3344b019918d21a7248e569_428d58fd12fb43569d8c629d3d86a5ed
