축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
산타축제,임실치즈테마파크,2019-12-21,2019-12-25,"산타플래시몹 퍼레이드, 19명의 산타를 찾아라, 산타경연대회 등",(재)임실치즈테마파크,(재)임실치즈테마파크,임실군,063-643-2300,www.cheesepark.kr,N,전라북도 임실군 성수면 도인2길 50,전라북도 임실군 성수면 도인리 689,35.63310329,127.3012599,2019-12-11
임실N치즈축제,"임실치즈테마파크, 임실치즈마을",2019-10-03,2019-10-06,"국가대표 왕치즈피자 만들기, 우유드림 행복드림 퍼레이드, 임실N치즈페어, 치즈경매 등",임실N치즈축제 제전위원회,임실군,"문화체육관광부, 농림축산식품부, 전라북도 등",063-643-3900,www.imsilfestival.com,N,전라북도 임실군 성수면 도인2길 50,전라북도 임실군 성수면 도인리 689,35.63310329,127.3012599,2019-12-11
의견문화제,오수의견공원,2019-05-04,2019-05-06,"반려동물과 함께하는 열린음악회, 개판콘서트, 반려견 콘테스트, 키즈 페스티벌 등",의견문화제전위원회,의견문화제전위원회,"전라북도, 임실군",063-642-5292,www.osudog.com,N,전라북도 임실군 오수면 충효로 2096-16,전라북도 임실군 오수면 오수리 33,35.54520247,127.3326779,2019-12-11
옥정호 꽃걸음 빛바람 축제,운암면 요산공원,2019-04-27,2019-04-28,"노래자랑, 문화예술공연, 각설이 품바공연, 초청가수 공연, 청소년 가요댄스 경연대회 등",운암면 지역발전협의회,운암면 지역발전협의회,"전라북도, 임실군",063-640-4083,www.옥정호꽃빛.com,N,전라북도 임실군 운암면 입석1길 59,전라북도 임실군 운암면 입석리 427,35.63203851,127.1526815,2019-12-11
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
