축제명,개최장소,축제시작일자,축제종료일자,축제내용,주관기관,주최기관,후원기관,전화번호,홈페이지주소,관련정보,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
블루거제페스티벌,장승포 일원,2019-07-31,2019-08-02,우수 예술인 발굴과 지역 문화예술의 저변 확대를 위해 개최,거제문화예술회관,거제문화예술회관,,055-680-1000,,,경상남도 거제시 장승로 145,,,,2020-02-13
거제맥주축제,장승포 수변공원,2019-08-27,2019-08-31,"음악공연, 즉석 댄스 등 경연, 이벤트 및 각종 퍼포먼스",거제맥주축제추진위원회,거제맥주축제추진위원회,,055-639-3373,,,경상남도 거제시 장승포동 685-3,경상남도 거제시 장승포동 685-3,,,2020-02-13
신년해맞이행사,장승포 몽돌개,2020-01-01,2020-01-01,한 해의 무사안녕을 기원하고 새해 아침 첫 해돋이를 맞이하기 위한 축제,신년맞이행사 추진위원회,신년맞이행사 추진위원회,,055-639-6751,,,경상남도 거제시 장승포동 산4,경상남도 거제시 장승포동 산4,,,2020-02-13
거제맹종대나무축제,거제맹종죽테마파크,2019-04-26,2018-04-28,봄의 기운이 더욱 푸르러지는 4월. 하청면의 명소 거제맹종죽 테마파크 죽림포레스티벌로의 초대,거제맹종죽영농조합법인,거제맹종죽영농조합법인,,055-639-6353,,,경상남도 거제시 하청면 실전리 산84-5,경상남도 거제시 하청면 실전리 산84-5,,,2020-02-13
가천다랭이마을해맞이행사,다랭이마을,2021-01-01,2021-01-01,"소원문 쓰기, 떡국나눔행사 등",가천마을회,가천마을회,경상남도 남해군,,http://tour.namhae.go.kr/main.web,다랭이마을,경상남도 남해군 남면 남면로 679번길 21,경상남도 남해군 남면 홍현리 898-5,34.7275136,127.8940684,2020-01-17
상주 정월대보름 달맞이 축제,상주은모래비치 주차장,2020-02-08,2020-02-08,"민속놀이, 기원제, 국악공연, 어울림한마당",상주면연합청년회,상주면연합청년회,경상남도 남해군,,http://tour.namhae.go.kr/main.web,상주은모래비치,경상남도 남해군 상주면 상주리 1227,경상남도 남해군 상주면 상주리 1227,34.722617,127.988295,2020-01-17
상주해돋이&물메기축제,상주은모래비치,2020-12-31,2021-01-01,물메기먹거리행사 및 해돋이 행사,상주면연합청년회,상주면연합청년회,경상남도 남해군,,http://tour.namhae.go.kr/main.web,상주은모래비치,경상남도 남해군 상주면 상주리 603-7,경상남도 남해군 상주면 상주리 603-7,34.72221206,127.9874449,2020-01-17
산청 경호강 물 페스티벌,산청 경호강 일원,2019-07-13,2019-07-14,"물놀이, 전국청춘트롯가요제&클럽, 래프팅대회, 체험 전시행사 등","㈜서경방송, 한국낚시채널FTV, ㈜런커",경상남도 산청군,,055-970-7202,http://www.sancheong.go.kr,"동의보감촌, 남사예담촌, 대원사",경상남도 산청군 금서면 매촌리 67,경상남도 산청군 금서면 매촌리 67,35.41970199,127.8717919,2019-12-19
제19회 산청한방약초축제,산청IC 입구 축제광장/동의보감촌,2019-09-27,2019-10-09,"한방약초를 테마로한 공연, 전시, 체험프로그램 운영, 기타 특별행사 및 전시 등",산청한방약초축제위원회,경상남도 산청군 한방항노화,,055-970-6602,http://www.sancheong.go.kr,"동의보감촌, 남사예담촌, 대원사",경상남도 산청군 금서면 친환경로2605번길 22,경상남도 산청군 금서면 매촌리 67,35.41970199,127.8717919,2019-12-19
제11회 산청불교문화제전,묵곡생태공원,2019-09-22,2019-09-22,"혜민스님 토크쇼, 음악회, 불교문화체험 및 전시 등",산청불교사암연합회,경상남도 산청군,,055-970-6401,http://www.sancheong.go.kr,성철스님기념관,경상남도 산청군 단성면 묵곡리 949,경상남도 산청군 단성면 묵곡리 949,35.27765217,127.9649714,2019-12-19
제13회 기산국악제전,"기산국악당, 남사예담촌",2019-09-20,2019-09-21,"박헌봉 국악상 시상, 국악한마당공연, 전국국악경연대회",기산국악제전위원회,경상남도 산청군,,055-970-6401,http://www.sancheong.go.kr,"동의보감촌, 남사예담촌, 대원사",경상남도 산청군 단성면 상동길 69,경상남도 산청군 단성면 사월리 1399,35.27597812,127.9340313,2019-12-19
생초국제조각공원 꽃잔디 축제,산청군 생초국제조각공원 일원,2019-04-19,2019-05-05,"개막식, 풍물패 길놀이, 행사장 축하공연, 연극공연, 음악공연, 꽃잔디 화분 만들기, 천아트 꽃그림 그리기, 시계 목각 만들기 체험 등","산청군, 생초면체육회",산청군 생초면,,055-970-8151,http://www.sancheong.go.kr,"생초국제조각공원, 산청박물관",경상남도 산청군 생초면 산수로 1064,경상남도 산청군 생초면 어서리 산94,35.49232876,127.8317388,2019-12-19
제43회 남명선비문화축제,한국선비문화연구원,2019-10-18,2019-10-19,"남명제례, 개막식, 공연, 경연, 전시, 체험행사등",남명선비문화축제집행위원회,경상남도 산청군,,055-970-6401,http://www.sancheong.go.kr,"동의보감촌, 남사예담촌, 대원사",경상남도 산청군 시천면 남명로240번길 33,경상남도 산청군 시천면 사리 900-27,35.27631899,127.8460504,2019-12-19
제13회 지리산산청곶감축제,산청군 시천면산청곶감유통센터 일원,2020-01-02,2020-01-05,곶감 홍보 및 품평회곶감 홍보관 운영 및 판매전국연날리기 대회산청곶감노래자랑,지리산산청곶감축제위원회,경상남도 산청군 산림녹지과 산촌소득담당,"산청군, 농협 등",055-970-6932,http://www.sancheong.go.kr,천왕봉,경상남도 산청군 시천면 송하중태길 6,경상남도 산청군 시천면 천평리 440,35.27427006,127.8363661,2019-12-19
제46회 지리산평화제,지리산 중산관광지,2019-10-11,2019-10-11,"지리산 산신제, 평화상 시상",산청문화원,경상남도 산청군,,055-970-6401,http://www.sancheong.go.kr,"동의보감촌, 남사예담촌, 대원사",경상남도 산청군 시천면 지리산대로 520,경상남도 산청군 시천면 중산리 519,,,2019-12-19
산청황매산철쭉제,황매산 일원,2019-04-27,2019-05-12,황매산철쭉제,산청황매산철쭉위원회,경상남도 산청군,,055-970-7201,http://www.sancheong.go.kr,"동의보감촌, 남사예담촌, 대원사",경상남도 산청군 차황면 법평리 1-2,경상남도 산청군 차황면 법평리 1-2,35.48759166,127.968645,2019-12-19
제11회 구미시민 녹색자전거 대행진,"동락공원, 낙동강체육공원 중 선정",2019-09-21,2019-09-21,"자전거 안전하게 타기 퍼포먼스, 녹색홍보단 퍼레이드(단체라이딩), 축하공연 각종 체험/홍보부스 운영",보조사업 공고 후 선정[2018년 (주)영남일보 주관],보조사업 공고 후 선정[2018년 (주)영남일보 주최],구미시,,,,경상북도 구미시 3공단1로 191,경상북도 구미시 진평동 766,36.099427,128.4017505,2019-12-30
3.1운동 애국지사 최재화 목사 추모행사,산양리 마을회관,2019-03-01,2019-03-01,기념식 및 추모행사,산양리 3.1 동지회,산양리 3.1 동지회,해당없음,054-480-7306,,,경상북도 구미시 강동로 2040,경상북도 구미시 해평면 산양리 66-38,36.22618283,128.369204,2019-12-30
제28회 선주원남 벚꽃축제,구미 금오산 대주차장 일원,2019-04-02,2019-04-03,"전야제 의식행사, 인기가수 공연, 체험부스 등",선주원남동남여새마을지도자협의회,선주원남동남여새마을지도자협의회,"선주원남동정협의회, 구미대학교, 원남새마을금고",054-480-7505,,,경상북도 구미시 금오산로 218,,,,2019-12-30
부처님 오신날 맞이 도리사 연등 축제,구미시 해평면 도리사,2019-05-12,2019-05-12,"점등식, 봉축 법요식, 도리사 사진전",대한불교 조계종 도리사,구미시 해평면 도리사,해당없음,054-474-3737,http://www.dorisa.or.kr/,,경상북도 구미시 도리사로 526,경상북도 구미시 해평면 송곡리 403,36.25554215,128.3984862,2019-12-30
도리사 해맞이 행사,구미시 해평면 도리사,2019-01-01,2019-01-01,"새벽예불, 해맞이 및 소원성취기원, 새해법회, 떡국 공양",구미시 해평면 도리사,구미시 해평면 도리사,해당없음,054-474-3737,http://www.dorisa.or.kr/,,경상북도 구미시 도리사로 526,경상북도 구미시 해평면 송곡리 403,36.25554215,128.3984862,2019-12-30
선산 비봉 민속축제,선산고등학교,2019-05-04,2019-05-04,"사진전, 사생대회, 체육대회 등",선산읍 체육회,구미시,-,054-480-7013,,,경상북도 구미시 선산읍 단계서4길 18,경상북도 구미시 선산읍 노상리 36-1,36.24820016,128.2950621,2019-12-30
부처님 오신날 맞이 보천사 연등 축제,구미시 해평면 보천사,2019-05-12,2019-05-12,"점등식, 봉축 법요식, 만발공양 등",대한불교 조계종 보천사,구미시 해평면 보천사,해당없음,054-475-3581,http://www.bocheonsa.com/,,경상북도 구미시 해평4길 86,경상북도 구미시 해평면 해평리 525-1,36.20326096,128.3734459,2019-12-30
정월대보름달맞이축제,직지천 고수부지,2019-02-22,2019-02-22,달집태우기 줄다리기 등,김천문화원,김천시,,054-434-4336,www.gcculture.or.kr,-,경상북도 김천시 남산동 3-1,경상북도 김천시 남산동 3-1,36.118748,128.1221092,2019-12-20
김천예술제,김천시 일원,2019-10-10,2019-10-20,시민촬영대회 시민가요제 청소년가요제 동화구연대회 등,한국예총 김천지회,김천시,,054-433-5558,www.artgc.or.kr,-,경상북도 김천시 남산동 3-14,경상북도 김천시 남산동 3-14,36.118896,128.12205,2019-12-20
김천국제가족연극제,김천문화예술회관,2019-07-19,2019-07-28,연극공연 및 연기콘테스트 등,김천국제가족연극제추진위원회 영남일보,김천시,"한국문화예술위원회, 경상북도,경상북도교육청",054-435-8279,www.gitf.co.kr,-,경상북도 김천시 영남대로 1321,경상북도 김천시 백옥동 77-1,36.125843,128.081077,2019-12-20
김천자두포도축제,김천시종합스포츠타운 및 체험농장,2019-07-18,2019-07-21,자두포도 품평회 자두포도 수확체험 각종 문화예술공연 등,김천시자두포도축제추진위원회,김천시,,054-421-2602,www.gcjadu.com,"특산물(자두, 포도)",경상북도 김천시 운동장길 1,경상북도 김천시 삼락동 488-1,36.144924,128.088088,2019-12-20
문경오미자축제,문경동로초등학교일원,2019-09-20,2018-09-22,문경오미자 홍보,"문경문화관광재단, 문경오미자축제추진위원회",문경시청,,054-571-7677,http://www.mg5mija.or.kr/,,경상북도 문경시 동로면 노은2길 4,경상북도 문경시 동로면 노은리 155-2,36.7714734,128.3141145,2019-05-08
문경찻사발축제,문경새재 오픈세트장,2019-04-27,2019-05-06,"대한민국 도예명장전 등 전시행사, 왕의 찻자리 등 체험행사, 사기장의 하루, 차담이 어드벤처 등 특별행사","문경문화관광재단, 문경찻사발축제추진위원회",문경시청,"문화체육관광부, 경상북도, 문경도자기협동조합",054-550-6395,http://www.sabal21.com,,경상북도 문경시 문경읍 문경대로 2416,경상북도 문경시 문경읍 진안리 360-10,36.74144625,128.0838026,2019-05-08
문경사과축제,문경새재도립공원일원,2019-10-12,2019-10-27,문경사과 홍보,"문경문화관광재단, 문경사과축제추진위원회",문경시청,,054-571-7677,http://www.mgapple.or.kr/,,경상북도 문경시 문경읍 새재로932,경상북도 문경시 문경읍 상초리 288-1,36.76160207,128.0769905,2019-05-08
봉화송이축제,봉화읍 내성천 일원,2020-10-08,2020-10-11,송이채취체험,(사)봉화군축제위원회,경상북도 봉화군,경상북도 봉화군,054-679-6343,http://www.bonghwafestival.com/songi,"분천산타마을,목재문화체험장",경상북도 봉화군 봉화읍 내성리 506,경상북도 봉화군 봉화읍 내성리 506,36.8888791,128.7378251,2020-01-13
봉화은어축제,봉화읍 내성천 일원,2020-07-25,2020-08-02,은어잡이체험,(사)봉화군축제위원회,경상북도 봉화군,경상북도 봉화군,054-679-6342,http://www.bonghwafestival.com/eunuh,"분천산타마을,목재문화체험장",경상북도 봉화군 봉화읍 내성리 506,경상북도 봉화군 봉화읍 내성리 506,36.8888791,128.7378251,2020-01-13
암산얼음축제,암산유원지 일원,2020-01-18,2020-01-26,"얼음체험활동, 공연단 운영, 얼음조각 전시 등",안동축제관광재단,안동시청,,054-841-6398,www.binggo.org,경상북도 유망축제,경상북도 안동시 남후면 암산1길 59(남후면),,36.50643143,128.6787973,2019-12-10
안동민속축제,탈춤공원,2020-09-25,2020-10-04,"차전놀이, 놋다리밟기, 저전농요 등",안동문화원,안동시청,,054-859-0825,www.adcc.or.kr,,경상북도 안동시 서동문로203(동부동),,36.5662343,128.7342615,2019-12-10
안동국제탈춤축제,"안동탈춤공원, 하회마을",2020-09-25,2020-10-04,"탈춤공연, 경연, 대동난장 등",안동축제관광재단,안동시청,,054-841-6398,www.maskdance.com,대한민국 글로벌육성축제,경상북도 안동시 육사로 239(운흥동),,36.5606948,128.7322556,2019-12-10
안동봄꽃축제,안동 낙동강변 벚꽃거리,2020-04-03,2020-04-12,"야간조명, 봄꽃포토존, 빛터널 등",안동축제관광재단,안동시청,,054-841-6398,www.tourandong.com,,경상북도 안동시 육사로 239(운흥동),,36.5606618,128.7322556,2019-12-10
제15회 영양산나물축제,영양군청 일원,2019-05-02,2019-05-05,"판매, 체험, 공연, 부대행사",(재)영양축제관광재단,영양군,,054-680-6411,yftf.kr,축제 프로그램 등,경상북도 영양군 영양읍 군청길 37,경상북도 영양군 영양읍 서부리 379-1,36.66718111,129.1123668,2019-12-31
2020 예천세계곤충엑스포,예천공설운동장 및 곤충생태원 일원,2020-05-01,2020-05-17,"곤충주제관, 생명산업대전관, 곤충놀이관 등",예천세계곤충엑스포추진위원회,예천군,경상북도,054-650-6034,http://www.ycg.kr/open.content/tour/festivals/expo/,,경상북도 예천군 예천읍 충효로 395,경상북도 예천군 예천읍 동본리 186,36.658337,128.463487,2019-12-10
포항해병대문화축제,"오천읍 냉천수변공원, 도구해안",2019-04-27,2019-04-28,"해병대상륙작전, 블랙이글스 에어쇼, 부대방문 등",포항시,포항시,"문화체육관광부,경상북도",054-270-2243,,"오천읍 냉천수변공원, 도구해안",경상북도 포항시 남구 오천읍 해병로 293,경상북도 포항시 남구 오천읍 용덕리 267,35.96902317,129.4127411,2020-01-02
포항국제불빛축제,형산강 체육공원 일원,2019-05-31,2019-06-02,"국제불꽃쇼, 버스킹 페스티벌, 불빛퍼레이드, 주제공연 등",포항문화재단,포항시,"문화체육관광부,경상북도",054-289-7850,http://www.phcf.or.kr/,"형산강체육공원, 포항운하,영일대해수욕장,포스코 야경포스코 역사관",경상북도 포항시 남구 해도동 115-1,경상북도 포항시 남구 해도동 115-1,36.017859,129.374454,2020-01-02
포항 연날리기 한마당,형산강고수부지 일원,2019-10-09,2019-10-09,"꼬리연 높이 날리기 대회, 체험행사, 사생대회 등",포항CBS,포항시,경상북도,054-277-5500,http://www.phcbs.co.kr/,형산강고수부지,경상북도 포항시 남구 해도동 202-6,경상북도 포항시 남구 해도동 202-6,36.010908,129.368551,2020-01-02
호미곶한민족해맞이축전,호미곶 해맞이광장 일원,2019-12-31,2020-01-01,"해맞이(일출), 자정행사, 특별행사, 1만명 떡국나둠 등",포항문화재단,포항시,경상북도,054-289-7850,http://www.phcf.or.kr/kr/,"호미곶해맞이광장,새천년기념관,연오랑세오녀상,국립등대박물관,이육사청포도시비,구룡포근대문화역사거리",경상북도 포항시 남구 호미곶면 해맞이로 136,경상북도 포항시 남구 호미곶면 대보리 293-1,36.07675839,129.5660588,2020-01-02
포항운하축제,포항운하 일원,2019-09-21,2019-09-22,"이색창작배 경연대회, 방티타고 달리기, 이색레포츠 시연",포항MBC,포항시,경상북도,054-289-0123,http://www.phmbc.co.kr/,포항운하,경상북도 포항시 남구 희망대로 1040,경상북도 포항시 남구 송도동 222,36.02387158,129.3773906,2020-01-02
포항시 대학연합축제(POP),중앙상가실개천거리 특설무대,2019-10-30,2019-11-01,"대학동아리 공연, 길거리 공연",포항대학연합,포항시,,054-270-2246,,,경상북도 포항시 북구 중앙상가길 31,경상북도 포항시 북구 대흥동 723-5,36.03793871,129.3636807,2020-01-02
제14회 신천돗자리음악회,신천둔치 중동교남편,2020-07-25,2020-07-26,"공감콘서트,신천돗자리가요제,폭염이벤트,건강체험부스 등",남구문화행사추진원회,남구문화행사추진원회,"대구광역시, 대구광역시 남구",053-664-3262,,,대구광역시 남구 봉덕2동,대구광역시 남구 봉덕2동,35.840562,128.606693,2020-02-03
제27회 대구 앞산 축제,"대구앞산빨래터공원, 앞산맛둘레길일대",2020-04-25,2020-04-26,"손빨래체험,손빨래 퍼포먼스,거리퍼레이드,펫퍼레이드,체험부스,초청가수공연,버스킹,플리마켓,연계행사",남구문화행사추진원회,남구문화행사추진원회,"대구광역시, 대구광역시 남구",053-664-3262,,,대구광역시 남구 앞산순환로 351-17,대구광역시 남구 대명동 1550-39,35.831799,128.5645966,2020-02-03
천을산 해맞이,천을산 정상,2020-01-01,2020-01-01,"새해메세지, 대북타고, 해오름 함성 등",(재)수성문화재단,대구광역시 수성구,,053-666-2162,http://suseong.kr,"천을산 해맞이 동산, 고산초교",대구광역시 수성구 가천동 산11-3,대구광역시 수성구 가천동 산11-3,35.849688,128.695676,2019-12-13
수성못 페스티벌,"수성못,들안길,수성아트피아",2020-09-18,2020-09-18,"수성못 주제 프로그램, 들안길 푸드 페스티벌 등",(재)수성문화재단,(재)수성문화재단,대구광역시 수성구,053-666-2163,http://www.ssfestival.net/,"들안길먹거리타운, 수성아트피아, 수성랜드, 카페촌",대구광역시 수성구 무학로112(두산동),대구광역시 수성구 두산동 499-4,35.82937671,128.6205781,2019-12-13
상화문학제,수성못 상화동산,2019-05-24,2019-05-26,"상화백일장, 상화문학의밤 등",수성문화원,수성문화원,대구광역시 수성구,053-768-0002,http://www.suseong.or.kr,"수성못 상화시비, 수성랜드, 수성아트피아, 들안길먹거리타운",대구광역시 수성구 용학로 35-5(상동),대구광역시 수성구 상동 723,35.8268576,128.6128683,2019-12-13
정월대보름 문화행사,대구스타디움 서편광장,2020-02-08,2020-02-08,"달집태우기, 전통민속놀이 등",고산농악보존회,고산농악보존회,,053-666-2172,http://suseong.kr,"대구스타디움, 대구미술관",대구광역시 수성구 유니버시아드로 140(대흥동),대구광역시 수성구 대흥동 504,35.83165878,128.687326,2019-12-13
고모령 가요제,수성못 상화동산,2019-08-02,2019-08-02,"예선 및 본선, 축하공연",수성문화원,대구광역시 수성구,대구광역시 수성구,053-768-0002,http://www.suseong.or.kr,"대구스타디움, 대구미술관",대구광역시 수성구 유니버시아드로 140(대흥동),대구광역시 수성구 대흥동 504,35.83165878,128.687326,2019-12-13
수성 건강 축제,대구스타디움 서편광장,2019-08-02,2019-08-03,테마별 건강체험관 운영,수성구 보건소,수성구 보건소,,053-666-3124,http://suseong.kr,대구스타디움,대구광역시 수성구 유니버시아드로 140(대흥동),대구광역시 수성구 대흥동 504,35.83165878,128.687326,2019-12-13
낙동강유채꽃 축제,대저생태공원,2019-04-06,2019-04-14,유채꽃 관람 체험 및 공연프로그램 등,(사)부산문화관광축제조직위원회,부산광역시,BNK,051-888-5222,http://www.bfo.or.kr/main/index.asp,대저생태공원 오토캠핑장,부산광역시 강서구 대저1동 2314-11,부산광역시 강서구 대저1동 2314-11,35.20984733,128.9845542,2020-01-01
제5회 강서낙동강 30리 벚꽃축제,대저생태공원,2019-03-29,2019-03-31,"문화행사, 전시체험행사, 노래자랑, 걷기대회 등",부산광역시 강서구,부산광역시 강서구 축제추진위원회,,051-970-4062,http://festival.bsgangseo.go.kr,축제 관련 정보 제공,부산광역시 강서구 대저1동 2314-11,부산광역시 강서구 대저1동 2314-11,35.20984733,128.9845542,2019-12-11
부산 차이나타운특구 문화축제,"부산역 광장, 차이나타운특구 일원",2019-10-18,2019-10-20,"볼거리, 먹거리, 체험 프로그램 구성,중국문화원, 중국유학생 등 다양한 채널을 통한 중국전통공연과 한국을 대표할 수 있는 문화공연 및 체험 등 배치",부산차이나타운축제추진위원회,부산 동구,,051-440-4062,http://tour.bsdonggu.go.kr/,,부산광역시 동구 초량중로 36 (초량동),부산광역시 동구 초량동 546,35.11507608,129.0375502,2019-10-16
부산항축제,북항 및 국립해양박물관 일원,2019-05-25,2019-05-26,"부산항불꽃쇼, 부산항투어, 해양레저체험 등",(사)부산문화관광축제조직위원회,"부산광역시, 부산지방해양수산, 부산항만공사",,051-888-5357,http://www.bfo.or.kr,부산항축제,부산광역시 동구 충장대로 206,부산광역시 동구 초량동 45-39,35.11774625,129.0491459,2020-01-01
제9회 낙동강 구포나루 축제,화명생태공원 선착장 일원,2020-05-22,2020-05-24,감동 민속촌/밀사리체험/바비큐체험/구포국수체험 등,(사)북구문화관광축제조직위원회,(사)북구문화관광축제조직위원회,부산광역시 북구청,051-309-4522,http://www.guponarufes.co.kr,낙동민속예술제,부산광역시 북구 낙동대로1570번길 33(구포동),부산광역시 북구 구포동 1124-1,35.19688402,128.9900968,2020-01-08
부산국제록페스티벌,삼락생태공원,2019-07-27,2019-07-28,국내외 록밴드 라이브공연,(사)부산문화관광축제조직위원회,부산광역시,"BNK, 대선주조",051-888-5222,http://www.bfo.or.kr/main/index.asp,렛츠런파크,부산광역시 사상구 삼락동29-49,부산광역시 사상구 삼락동29-49,35.16833555,128.9733583,2020-01-01
부산고등어축제,송도해수욕장 및 부산공동어시장 일원,2019-10-25,2019-10-27,"개막행사, 맨손 고등어잡기, 고등어 캐릭터 전시판매관, 고등어 주제공연, 전국 고등어요리 경연, 바다사랑 문예창작대회, 먹거리 한마당 등",(사)부산서구문화원,"부산광역시 서구, 대형선망수협","부산광역시, 부산공동어시장, 수협중앙회, 부산은행, 부산광역시교육청, 부산광역시서부교육지원청",051-240-4062,http://www.busangde.co.kr,"송도해수욕장, 부산공동어시장, 송도구름산책로, 송도해상케이블카, 송도오토캠핑장, 송도해안볼레길, 암남공원",부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502,2019-12-10
현인가요제,송도해수욕장 일원,2019-08-01,2019-08-04,"개막행사, 현인가요제 전야제, 현인가요제 본선",(사)한국연예예술인협회,(사)한국연예예술인협회,"부산광역시, 부산광역시 서구, (사)부산서구문화원",02-2655-3157,http://culture.bsseogu.go.kr,"송도해수욕장, 송도구름산책로, 송도해상케이블카, 송도오토캠핑장, 송도해안볼레길, 암남공원",부산광역시 서구 송도해변로 100,부산광역시 서구 암남동 135-5,35.07682117,129.0180502,2019-12-10
부산불꽃축제,광안리해변,2019-11-02,2019-11-02,"해외초청 불꽃쇼, 첨단멀티 불꽃쇼",(사)부산문화관광축제조직위원회,부산광역시,"BNK, 고려제강",051-888-5222,http://www.bfo.or.kr/main/index.asp,광안대교,부산광역시 수영구 광안동 192-16,부산광역시 수영구 광안동 192-16,35.1543923,129.1188448,2020-01-01
부산바다축제,부산5개해수욕장,2019-08-02,2019-08-06,개막행사 물의난장 음악공연 등,(사)부산문화관광축제조직위원회,부산광역시,BNK,051-888-5224,http://www.bfo.or.kr/main/index.asp,광안리 송정 송도해수욕장,부산광역시 수영구 광안동 192-16,부산광역시 수영구 광안동 192-16,35.1543923,129.1188448,2020-01-01
제20회광안리어방축제,광안리해변 일원,2019-04-24,2019-04-26,"뮤지컬어방, 경상좌수사행렬, 어방그물끌기 한마당, 진두어화, 어방민속마을 등 6개분야 40종목",수영구축제위원회,수영구,,051-610-4062,http://www.suyeong.go.kr/eobang/,,부산광역시 수영구 광안해변로 219,,35.15377436,129.1185216,2020-01-23
발복기원제,봉래산 헬기장,2019-06-11,2019-06-11,"개회식, 기원제, 길놀이, 의식공연, 음복례 등",봉래산발복기원제추진위원회,봉래산발복기원제추진위원회,,051-419-4064,http://www.yeongdo.go.kr/main.web,,부산광역시 영도구 벚꽃길,부산광역시 영도구 청학동,35.0819541,129.0552017,2019-12-19
제27회 영도다리축제,"봉래동물양장, 깡깡이마을 일원",2019-10-11,2019-10-13,"개막주제공연, 축하공연, 불꽃쇼, 퍼레이드, 깡깡이 걷기대회 등",영도문화원,영도구,,051-419-4062,https://korean.visitkorea.or.kr/detail/content_view.html?cid=1080734,,부산광역시 영도구 봉래나루로 82,부산광역시 영도구 봉래동1가 29,35.09449915,129.0391352,2019-12-19
